,Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
76,Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,8.0,8h,Good,59.0,,Good,0.0,01/11/2018 9:00,1541059503
77,Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,7.0,8h,Good,36.0,9h,Good,12.0,01/11/2018 9:00,1541059503
78,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,8h,Good,31.0,9h,Good,18.0,01/11/2018 9:00,1541059503
79,Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,67.0,8h,Good,3.0,8h,Good,8.0,01/11/2018 9:00,1541059503
80,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,9h,Good,35.0,,Good,0.0,01/11/2018 10:00,1541063103
81,Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,3.0,9h,Good,60.0,10h,Good,20.0,01/11/2018 10:00,1541063103
82,Barcelona - Gràcia,Good,2.1534,41.3987,9h,Good,14.0,9h,Good,49.0,,Good,0.0,01/11/2018 10:00,1541063103
83,Barcelona - Ciutadella,Good,2.1874,41.3864,9h,Good,24.0,9h,Good,34.0,,Good,0.0,01/11/2018 10:00,1541063103
84,Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,14.0,9h,Good,51.0,,Good,0.0,01/11/2018 10:00,1541063103
85,Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,21.0,9h,Good,15.0,10h,Good,11.0,01/11/2018 10:00,1541063103
86,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,9h,Good,37.0,10h,Good,17.0,01/11/2018 10:00,1541063103
87,Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,69.0,9h,Good,3.0,10h,Good,6.0,01/11/2018 10:00,1541063103
88,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,10h,Good,23.0,,Good,0.0,01/11/2018 11:00,1541066703
89,Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,12.0,10h,Good,64.0,10h,Good,19.0,01/11/2018 11:00,1541066703
90,Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,32.0,10h,Good,33.0,,Good,0.0,01/11/2018 11:00,1541066703
91,Barcelona - Ciutadella,Good,2.1874,41.3864,10h,Good,34.0,10h,Good,25.0,,Good,0.0,01/11/2018 11:00,1541066703
92,Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,44.0,10h,Good,15.0,,Good,0.0,01/11/2018 11:00,1541066703
93,Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,33.0,10h,Good,11.0,10h,Good,12.0,01/11/2018 11:00,1541066703
94,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,10h,Good,28.0,10h,Good,16.0,01/11/2018 11:00,1541066703
95,Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,64.0,10h,Good,7.0,11h,Good,6.0,01/11/2018 11:00,1541066703
96,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,11h,Good,31.0,,Good,0.0,01/11/2018 12:00,1541070303
97,Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,22.0,11h,Good,50.0,12h,Good,18.0,01/11/2018 12:00,1541070303
98,Barcelona - Gràcia,Good,2.1534,41.3987,11h,Good,30.0,11h,Good,37.0,,Good,0.0,01/11/2018 12:00,1541070303
99,Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,35.0,11h,Good,21.0,,Good,0.0,01/11/2018 12:00,1541070303
100,Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,47.0,11h,Good,13.0,,Good,0.0,01/11/2018 12:00,1541070303
101,Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,38.0,11h,Good,19.0,12h,Good,11.0,01/11/2018 12:00,1541070303
102,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,11h,Good,29.0,12h,Good,15.0,01/11/2018 12:00,1541070303
103,Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,68.0,11h,Good,3.0,12h,Good,7.0,01/11/2018 12:00,1541070303
104,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,12h,Good,14.0,,Good,0.0,01/11/2018 13:00,1541073903
105,Barcelona - Eixample,Good,2.1538,41.3853,12h,Good,29.0,12h,Good,35.0,13h,Good,18.0,01/11/2018 13:00,1541073903
106,Barcelona - Gràcia,Good,2.1534,41.3987,12h,Good,46.0,12h,Good,21.0,,Good,0.0,01/11/2018 13:00,1541073903
107,Barcelona - Ciutadella,Good,2.1874,41.3864,12h,Good,41.0,12h,Good,16.0,,Good,0.0,01/11/2018 13:00,1541073903
108,Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,47.0,12h,Good,15.0,,Good,0.0,01/11/2018 13:00,1541073903
109,Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,44.0,12h,Good,5.0,13h,Good,11.0,01/11/2018 13:00,1541073903
110,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,12h,Good,20.0,13h,Good,14.0,01/11/2018 13:00,1541073903
111,Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,62.0,12h,Good,5.0,13h,Good,6.0,01/11/2018 13:00,1541073903
112,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,13h,Good,9.0,,Good,0.0,01/11/2018 14:00,1541077503
113,Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,38.0,13h,Good,26.0,14h,Good,17.0,01/11/2018 14:00,1541077503
114,Barcelona - Gràcia,Good,2.1534,41.3987,13h,Good,54.0,13h,Good,14.0,,Good,0.0,01/11/2018 14:00,1541077503
115,Barcelona - Ciutadella,Good,2.1874,41.3864,13h,Good,53.0,13h,Good,11.0,,Good,0.0,01/11/2018 14:00,1541077503
116,Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,62.0,13h,Good,10.0,,Good,0.0,01/11/2018 14:00,1541077503
117,Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,54.0,13h,Good,1.0,13h,Good,10.0,01/11/2018 14:00,1541077503
118,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,13h,Good,14.0,13h,Good,14.0,01/11/2018 14:00,1541077503
119,Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,69.0,13h,Good,3.0,14h,Good,6.0,01/11/2018 14:00,1541077503
120,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,14h,Good,10.0,,Good,0.0,01/11/2018 15:00,1541081103
121,Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,39.0,14h,Good,33.0,15h,Good,16.0,01/11/2018 15:00,1541081103
122,Barcelona - Gràcia,Good,2.1534,41.3987,14h,Good,54.0,14h,Good,14.0,,Good,0.0,01/11/2018 15:00,1541081103
123,Barcelona - Ciutadella,Good,2.1874,41.3864,14h,Good,58.0,14h,Good,10.0,,Good,0.0,01/11/2018 15:00,1541081103
124,Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,63.0,14h,Good,9.0,,Good,0.0,01/11/2018 15:00,1541081103
125,Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,54.0,14h,Good,2.0,15h,Good,10.0,01/11/2018 15:00,1541081103
126,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,14h,Good,17.0,15h,Good,11.0,01/11/2018 15:00,1541081103
127,Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,69.0,14h,Good,4.0,15h,Good,6.0,01/11/2018 15:00,1541081103
128,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,15h,Good,9.0,,Good,0.0,01/11/2018 16:00,1541084703
129,Barcelona - Eixample,Good,2.1538,41.3853,15h,Good,39.0,15h,Good,31.0,16h,Good,16.0,01/11/2018 16:00,1541084703
130,Barcelona - Gràcia,Good,2.1534,41.3987,15h,Good,55.0,15h,Good,12.0,,Good,0.0,01/11/2018 16:00,1541084703
131,Barcelona - Ciutadella,Good,2.1874,41.3864,15h,Good,61.0,15h,Good,11.0,,Good,0.0,01/11/2018 16:00,1541084703
132,Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,63.0,15h,Good,8.0,,Good,0.0,01/11/2018 16:00,1541084703
133,Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,56.0,15h,Good,2.0,16h,Good,10.0,01/11/2018 16:00,1541084703
134,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,15h,Good,14.0,16h,Good,10.0,01/11/2018 16:00,1541084703
135,Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,69.0,15h,Good,4.0,16h,Good,6.0,01/11/2018 16:00,1541084703
136,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,16h,Good,9.0,,Good,0.0,01/11/2018 17:00,1541088303
137,Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,39.0,16h,Good,33.0,17h,Good,15.0,01/11/2018 17:00,1541088303
138,Barcelona - Gràcia,Good,2.1534,41.3987,16h,Good,51.0,16h,Good,16.0,,Good,0.0,01/11/2018 17:00,1541088303
